;bait;baitGene;prey;preyGene;Protein names_x;Unnamed: 5;FlyBase;trueCounts;ucCounts;ccCounts;sumSPC;avgSPC;FC_A;FC_B;SP;compass;eScore;iRef;iRef2;intAct;intAct2;From;Entry;Reviewed;Entry Name;Protein names_y;Gene Names;Length;Gene Names (ORF);Gene Names (primary);Gene Names (synonym);Gene Ontology (GO);Organism (ID);VEuPathDB
0;MTCNK7H30;MTCNK7H30;Q7KNQ9;cnk;Connector enhancer of KSR protein CNK (Connector enhancer of ksr, isoform A) (Connector enhancer of ksr, isoform B) (SD09985p);;"FBgn0286070;";153|227|365;0|1|0;-;745;248,3333333;209,080543;206,6098076;1,0;0;0;0;0;0;0;Q7KNQ9;Q7KNQ9;unreviewed;Q7KNQ9_DROME;Connector enhancer of KSR protein CNK (Connector enhancer of ksr, isoform A) (Connector enhancer of ksr, isoform B) (SD09985p);cnk anon-WO0140519.129 anon-WO0257455.27 CNK Cnk Dmel\CG6556 EC2-3 EK2-3 l(2)k16314 sag CG6556 Dmel_CG6556;1557,0;CG6556 Dmel_CG6556;cnk;anon-WO0140519.129 anon-WO0257455.27 CNK Cnk Dmel\CG6556 EC2-3 EK2-3 l(2)k16314 sag;"apical part of cell [GO:0045177]; cell cortex [GO:0005938]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; enzyme regulator activity [GO:0030234]; MAP-kinase scaffold activity [GO:0005078]; mitogen-activated protein kinase kinase kinase binding [GO:0031435]; receptor tyrosine kinase binding [GO:0030971]; compound eye photoreceptor cell differentiation [GO:0001751]; defense response to virus [GO:0051607]; epidermal growth factor receptor signaling pathway [GO:0007173]; epithelial cell migration, open tracheal system [GO:0007427]; fibroblast growth factor receptor signaling pathway [GO:0008543]; imaginal disc-derived wing vein specification [GO:0007474]; insulin receptor signaling pathway [GO:0008286]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of Ras protein signal transduction [GO:0046579]; sevenless signaling pathway [GO:0045500]; terminal region determination [GO:0007362]; torso signaling pathway [GO:0008293]; tracheal outgrowth, open tracheal system [GO:0007426]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]";7227,0;FBgn0286070
1;MTCNK7H30;MTCNK7H30;B7Z0L6;PP2A-B;Serine/threonine protein phosphatase 2A regulatory subunit;;"FBgn0042693;";8|6|14;0|0|0;-;28;9,333333333;11,58019642;11,26649129;1,0;0;0;0;0;0;0;B7Z0L6;B7Z0L6;unreviewed;B7Z0L6_DROME;Serine/threonine protein phosphatase 2A regulatory subunit;wrd anon-WO0118547.420 B' B'/PR61 B56-1 BcDNA:GM05554 CG 7913 CG7901 dB56-1 Dmel\CG7913 dPP2A dPP2A-B56-1 i234 PP2A PP2A B' PP2A-B PP2A-B' pp2A-B' PP2A[B'-1] Wrd CG7913 Dmel_CG7913;703,0;CG7913 Dmel_CG7913;wrd;anon-WO0118547.420 B' B'/PR61 B56-1 BcDNA:GM05554 CG 7913 CG7901 dB56-1 Dmel\CG7913 dPP2A dPP2A-B56-1 i234 PP2A PP2A B' PP2A-B PP2A-B' pp2A-B' PP2A[B'-1] Wrd;"cytosol [GO:0005829]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]; synapse [GO:0045202]; protein phosphatase activator activity [GO:0072542]; protein phosphatase regulator activity [GO:0019888]; autophagy [GO:0006914]; negative regulation of apoptotic process [GO:0043066]; neuromuscular junction development [GO:0007528]; neuromuscular synaptic transmission [GO:0007274]; protein dephosphorylation [GO:0006470]; signal transduction [GO:0007165]; synaptic vesicle localization [GO:0097479]";7227,0;FBgn0042693
2;MTCNK7H30;MTCNK7H30;Q9VL78;FKBP59;FK506-binding protein 59 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase) (dFKBP59);;"FBgn0029174;";17|13|26;4|1|4;-;56;18,66666667;5,262634667;5,14726869;0,99;0;0;0;0;0;0;Q9VL78;Q9VL78;reviewed;FKB59_DROME;FK506-binding protein 59 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase) (dFKBP59);Fkbp59 CG4535;439,0;CG4535;Fkbp59;;"cytoplasm [GO:0005737]; inaD signaling complex [GO:0016027]; FK506 binding [GO:0005528]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; chaperone-mediated protein folding [GO:0061077]; detection of light stimulus involved in visual perception [GO:0050908]; protein peptidyl-prolyl isomerization [GO:0000413]; regulation of calcium ion transport [GO:0051924]";7227,0;FBgn0029174
3;MTCNK7H30;MTCNK7H30;Q9VTB0;CG8003;LD35289p (Uncharacterized protein, isoform A) (Uncharacterized protein, isoform B);;"FBgn0036096;";5|2|6;0|0|0;-;13;4,333333333;6,094742528;5,678412892;0,93;0;0;0;0;0;0;Q9VTB0;Q9VTB0;unreviewed;Q9VTB0_DROME;LD35289p (Uncharacterized protein, isoform A) (Uncharacterized protein, isoform B);Dmel\CG8003 CG8003 Dmel_CG8003;407,0;CG8003 Dmel_CG8003;Dmel\CG8003;;metal ion binding [GO:0046872];7227,0;FBgn0036096
4;MTCNK7H30;MTCNK7H30;E1JGN0;par-1;non-specific serine/threonine protein kinase (EC 2.7.11.1);;"FBgn0260934;";13|2|12;0|0|0;-;27;9;11,90485849;9,339815754;0,93;0;0;0;0;0;0;E1JGN0;E1JGN0;unreviewed;E1JGN0_DROME;non-specific serine/threonine protein kinase (EC 2.7.11.1);par-1 27C1 anon-WO0210402.19 BcDNA:RH48823 CG11960 CG16701 CG30131 CG30132 dMARK Dmel\CG8201 DPAR-1 dPAR-1 dPar-1 DPar1 dPAR1 dPar1 EMK l(2)27C1 l(2)k06323 MARK PAR-1 Par-1 PAR1 Par1 par1 CG8201 Dmel_CG8201;1141,0;CG8201 Dmel_CG8201;par-1;27C1 anon-WO0210402.19 BcDNA:RH48823 CG11960 CG16701 CG30131 CG30132 dMARK Dmel\CG8201 DPAR-1 dPAR-1 dPar-1 DPar1 dPAR1 dPar1 EMK l(2)27C1 l(2)k06323 MARK PAR-1 Par-1 PAR1 Par1 par1;"basolateral plasma membrane [GO:0016323]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; fusome [GO:0045169]; germline ring canal [GO:0045172]; neuromuscular junction [GO:0031594]; type I terminal bouton [GO:0061174]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; tau-protein kinase activity [GO:0050321]; axis specification [GO:0009798]; border follicle cell delamination [GO:0030709]; border follicle cell migration [GO:0007298]; establishment of imaginal disc-derived wing hair orientation [GO:0001737]; follicle cell of egg chamber development [GO:0030707]; germarium-derived oocyte fate determination [GO:0007294]; intracellular signal transduction [GO:0035556]; microtubule cytoskeleton organization [GO:0000226]; microtubule cytoskeleton organization involved in establishment of planar polarity [GO:0090176]; oocyte microtubule cytoskeleton organization [GO:0016325]; pole plasm oskar mRNA localization [GO:0045451]; pole plasm protein localization [GO:0007318]; protein phosphorylation [GO:0006468]; regulation of polarized epithelial cell differentiation [GO:0030860]; regulation of pole plasm oskar mRNA localization [GO:0007317]; synaptic assembly at neuromuscular junction [GO:0051124]";7227,0;FBgn0260934
5;MTCNK7H30;MTCNK7H30;A0A0B4K6D2;A0A0B4K6D2;p23, isoform B (EC 5.3.99.3);;"FBgn0037728;";11|2|18;0|0|0;-;31;10,33333333;12,7312513;10,04696132;0,93;0;0;0;0;0;0;A0A0B4K6D2;A0A0B4K6D2;unreviewed;A0A0B4K6D2_DROME;p23, isoform B (EC 5.3.99.3);p23 cg16817 Dmel\CG16817 YC17 CG16817 Dmel_CG16817;184,0;CG16817 Dmel_CG16817;p23;cg16817 Dmel\CG16817 YC17;"Hsp90 protein binding [GO:0051879]; prostaglandin-E synthase activity [GO:0050220]";7227,0;FBgn0037728
6;MTCNK7H30;MTCNK7H30;Q24241;Ank;Ankyrin;;"FBgn0011747;";30|8|43;5|7|9;-;81;27;4,018833225;3,34227844;0,67;0;0;0;0;0;0;Q24241;Q24241;unreviewed;Q24241_DROME;Ankyrin;Ank CG1651;1549,0;CG1651;Ank;;"cytoskeleton [GO:0005856]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; spectrosome [GO:0045170]; cytoskeletal anchor activity [GO:0008093]; spectrin binding [GO:0030507]; transmembrane transporter binding [GO:0044325]; protein localization to plasma membrane [GO:0072659]; response to external stimulus [GO:0009605]; signal transduction [GO:0007165]";7227,0;FBgn0011747
7;MTCNK7H30;MTCNK7H30;A1ZBL9;par-1;non-specific serine/threonine protein kinase (EC 2.7.11.1);;"FBgn0260934;";14|0|8;0|0|0;-;22;7,333333333;10,40806234;5,66569311;0,67;0;0;0;0;0;0;A1ZBL9;A1ZBL9;unreviewed;A1ZBL9_DROME;non-specific serine/threonine protein kinase (EC 2.7.11.1);par-1 27C1 anon-WO0210402.19 BcDNA:RH48823 CG11960 CG16701 CG30131 CG30132 dMARK Dmel\CG8201 DPAR-1 dPAR-1 dPar-1 DPar1 dPAR1 dPar1 EMK l(2)27C1 l(2)k06323 MARK PAR-1 Par-1 PAR1 Par1 par1 CG8201 Dmel_CG8201;1170,0;CG8201 Dmel_CG8201;par-1;27C1 anon-WO0210402.19 BcDNA:RH48823 CG11960 CG16701 CG30131 CG30132 dMARK Dmel\CG8201 DPAR-1 dPAR-1 dPar-1 DPar1 dPAR1 dPar1 EMK l(2)27C1 l(2)k06323 MARK PAR-1 Par-1 PAR1 Par1 par1;"basolateral plasma membrane [GO:0016323]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; fusome [GO:0045169]; germline ring canal [GO:0045172]; neuromuscular junction [GO:0031594]; type I terminal bouton [GO:0061174]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; tau-protein kinase activity [GO:0050321]; axis specification [GO:0009798]; border follicle cell delamination [GO:0030709]; border follicle cell migration [GO:0007298]; establishment of imaginal disc-derived wing hair orientation [GO:0001737]; follicle cell of egg chamber development [GO:0030707]; germarium-derived oocyte fate determination [GO:0007294]; intracellular signal transduction [GO:0035556]; microtubule cytoskeleton organization [GO:0000226]; microtubule cytoskeleton organization involved in establishment of planar polarity [GO:0090176]; negative regulation of hippo signaling [GO:0035331]; oocyte anterior/posterior axis specification [GO:0007314]; oocyte microtubule cytoskeleton organization [GO:0016325]; pole plasm oskar mRNA localization [GO:0045451]; pole plasm protein localization [GO:0007318]; positive regulation of border follicle cell migration [GO:1903688]; protein phosphorylation [GO:0006468]; regulation of polarized epithelial cell differentiation [GO:0030860]; regulation of pole plasm oskar mRNA localization [GO:0007317]; regulation of protein phosphorylation [GO:0001932]; synaptic assembly at neuromuscular junction [GO:0051124]";7227,0;FBgn0260934
8;MTCNK7H30;MTCNK7H30;Q9VPJ9;CG3164;Uncharacterized protein, isoform B (Uncharacterized protein, isoform D);;"FBgn0288229;";5|1|4;0|1|0;-;10;3,333333333;3,852089246;3,328541571;0,66;0;0;0;0;0;0;Q9VPJ9;Q9VPJ9;unreviewed;Q9VPJ9_DROME;Uncharacterized protein, isoform B (Uncharacterized protein, isoform D);CK02656 BEST:CK02656 DmCG3164 Dmel\CG3164 l(2)21Ba CG3164 Dmel_CG3164;698,0;CG3164 Dmel_CG3164;CK02656;BEST:CK02656 DmCG3164 Dmel\CG3164 l(2)21Ba;"membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]";7227,0;FBgn0025683
9;MTCNK7H30;MTCNK7H30;C4IY07;Cdc37-RA;Hsp90 chaperone protein kinase-targeting subunit;;;2|0|7;0|0|0;-;9;3;4,123738309;3,088190962;0,6;0;0;0;0;0;0;C4IY07;C4IY07;unreviewed;C4IY07_DROME;Hsp90 chaperone protein kinase-targeting subunit;Cdc37-RA;389,0;;Cdc37-RA;;"cytoplasm [GO:0005737]; protein kinase binding [GO:0019901]";7227,0;FBgn0011573
